Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Tabellaria Fenestrata,3,2,0,21,21,0.0,0.3518,0.0005
Conopeum Tenuissimum,3,2,0,2,2,0.0,0.2978,0.0005
Stenotomus Chrysops,3,2,124,12,136,1323.59,0.4779,0.0018
Cryptomonas Ovata,2,1,0,48,48,0.0,0.3568,0.0005
Mya Arenaria,2,1,0,35,35,0.0,0.4316,0.0005
Mnemiopsis Leidyi,2,1,97,11,108,1961.71,0.4687,0.002
Microciona Prolifera,2,1,0,2,2,0.0,0.3309,0.0005
Bowerbankia Gracilis,2,1,0,1,1,0.0,0.2948,0.0005
Keratella Taurocephala,1,0,3,21,24,22.59,0.416,0.0006
Kelicottia Bostoniensis,1,0,3,17,20,21.28,0.4019,0.0006
Polyarthra Remata,1,0,2,17,19,8.76,0.386,0.0005
Ascomorpha Ecaudis,1,0,3,14,17,79.24,0.3878,0.0006
Conochiloides Unicornis,1,0,2,21,23,9.34,0.4154,0.0005
Ploesoma Truncatum,1,0,2,10,12,7.96,0.3857,0.0005
Dinobryon Sertularia,1,0,0,8,8,0.0,0.3366,0.0005
Diaptomus Minutus,1,0,57,19,76,4651.83,0.4455,0.0051
Polyarthra Vulgaris,1,0,2,16,18,8.62,0.4011,0.0005
Chrysocapsa Planktonica,1,0,0,7,7,0.0,0.3364,0.0005
Trichocerca Similis,1,0,2,7,9,4.2,0.3692,0.0005
Gastropus Stylifer,1,0,3,21,24,22.59,0.416,0.0006
Polyarthra Major,1,0,3,19,22,22.08,0.3989,0.0006
Schroederia Setigera,1,0,0,10,10,0.0,0.3376,0.0005
Trichocerca Multicrinis,1,0,3,14,17,20.4,0.3857,0.0006
Pediastrum Tetras,1,0,0,8,8,0.0,0.3366,0.0005
Bosmina Longirostris,1,0,3,43,46,118.15,0.4661,0.0006
Keratella Crassa,1,0,2,18,20,8.9,0.4145,0.0005
Ploesoma Hudsoni,1,0,1,4,5,1.03,0.3634,0.0005
Chydorus Sphaericus,1,0,3,16,19,22.16,0.4017,0.0006
Holopedium Gibberum,1,0,54,14,68,417.75,0.432,0.0044
Arthrodesmus Incus,1,0,0,8,8,0.0,0.3368,0.0005
Arthrodesmus Subulatus,1,0,0,2,2,0.0,0.3101,0.0005
Scenedesmus Dimorphus,1,0,0,2,2,0.0,0.3101,0.0005
Scenedesmus Quadricauda,1,0,0,8,8,0.0,0.3368,0.0005
Ceriodaphnia Quadrangula,1,0,2,34,36,35.44,0.4438,0.0005
Merismopedia Punctata,1,0,0,5,5,0.0,0.3356,0.0005
Diaphanosoma Birgei,1,0,2,14,16,1.82,0.4025,0.0005
Ophryoxus Gracilis,1,0,0,3,3,0.0,0.3618,0.0005
Tropocyclops Prasinus,1,0,58,21,79,246.07,0.4461,0.0037
Cyclops Vernalis,1,0,97,118,215,5341.3,0.5478,0.0036
Salvelinus Fontinalis,1,0,15,3,18,290.04,0.3989,0.0197
Alona Affinis,1,0,0,27,27,0.0,0.4371,0.0005
Chydorus Bicornutus,1,0,1,6,7,9.48,0.365,0.0005
Ictalurus Nebulosus,1,0,0,8,8,0.0,0.3164,0.0005
Epishura Lacustris,1,0,38,13,51,55.63,0.4148,0.0019
Notemigonus Crysoleucas,1,0,58,7,65,236.61,0.4039,0.0046
Peridinium Inconspicuum,1,0,0,12,12,0.0,0.379,0.0005
Peridinium Limbatum,1,0,0,8,8,0.0,0.363,0.0005
Peridinium Wisconsinense,1,0,0,12,12,0.0,0.379,0.0005
Synura Uvella,1,0,0,4,4,0.0,0.3352,0.0005
Uroglenopsis Americana,1,0,0,4,4,0.0,0.3352,0.0005
Cryptomonas Erosa,1,0,0,48,48,0.0,0.3568,0.0005
Sphaerocystis Schroeteri,1,0,0,10,10,0.0,0.3376,0.0005
Daphnia Catawba,1,0,48,13,61,277.83,0.4278,0.0034
Ilyocryptus Spinifer,1,0,1,24,25,13.56,0.4285,0.0005
Tetraedron Minimum,1,0,0,8,8,0.0,0.3368,0.0005
Mallomonas Akrokomos,1,0,0,4,4,0.0,0.3352,0.0005
