Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Achnanthes Austriaca Minor,1,0,0,5,5,0.0,0.4068,0.0008
Amphinemura Sulcicollis,1,0,23,1,24,5.69,0.4272,0.0022
Achnanthes Helvetica,1,0,0,36,36,0.0,0.5126,0.0008
Eunotia Exigua,1,0,0,22,22,0.0,0.4774,0.0008
Eunotia Rhomboidea,1,0,0,22,22,0.0,0.4774,0.0008
Eunotia Vanheurckii,1,0,0,13,13,0.0,0.4342,0.0008
Fragilaria Vaucheriae,1,0,0,34,34,0.0,0.4944,0.0008
Pinnularia Subcapitata,1,0,0,19,19,0.0,0.4664,0.0008
Tabellaria Flocculosa,1,0,0,52,52,0.0,0.5344,0.0008
Brachyptera Risi,1,0,16,1,17,1.57,0.4177,0.0016
Chloroperla Tripunctata,1,0,7,4,11,26.57,0.464,0.0017
Leuctra Inermis,1,0,22,12,34,235.71,0.5238,0.0021
Isoperla Grammatica,1,0,12,3,15,399.95,0.4991,0.0048
Siphonoperla Torrentium,1,0,13,7,20,523.9,0.4513,0.0051
Limnius Volckmari,1,0,110,17,127,320.54,0.6286,0.0032
Protonemura Meyeri,1,0,22,1,23,5.46,0.4258,0.0021
Salmo Trutta,1,0,122,9,131,1475.9,0.6455,0.1032
Achnanthes Minutissima,1,0,0,58,58,0.0,0.5421,0.0008
Achnanthes Modestiformis,1,0,0,10,10,0.0,0.4251,0.0008
Achnanthes Oblongella,1,0,0,10,10,0.0,0.4251,0.0008
Diatoma Hyemale,1,0,0,10,10,0.0,0.4251,0.0008
Eunotia Incisa,1,0,0,25,25,0.0,0.4826,0.0008
Gomphonema Angustatum,1,0,0,10,10,0.0,0.4251,0.0008
Hannaea Arcus,1,0,0,10,10,0.0,0.4251,0.0008
Synedra Minuscula,1,0,0,10,10,0.0,0.4251,0.0008
Baetis Rhodani,1,0,77,33,110,537.88,0.6197,0.0024
Leuctra Hippopus,1,0,16,7,23,54.21,0.4251,0.0018
Ecdyonurus Dispar,1,0,37,6,43,18.98,0.488,0.0017
Elmis Aenea,1,0,109,18,127,601.04,0.6361,0.0031
Rhithrogena Semicolorata,1,0,85,11,96,85.78,0.5727,0.0025
Rhyacophila Fasciata,1,0,6,3,9,2.33,0.4916,0.0027
Oreodytes Sanmarkii,1,0,1,2,3,0.0,0.3929,0.0014
Plectrocnemia Geniculata,1,0,5,1,6,0.0,0.3539,0.0142
Cordulegaster Boltonii,1,0,9,4,13,46.0,0.4944,0.0051
Leuctra Nigra,1,0,11,5,16,161.19,0.4171,0.0018
Nemurella Pictetii,1,0,0,5,5,0.0,0.3988,0.0008
Plectrocnemia Conspersa,1,0,36,12,48,2982.03,0.5207,0.0126
Sialis Fuliginosa,1,0,6,4,10,0.97,0.408,0.0048
Halesus Radiatus,1,0,70,3,73,6.68,0.5187,0.0025
Brachysira Brebissonii,1,0,0,7,7,0.0,0.3894,0.0008
Eunotia Denticulata,1,0,0,4,4,0.0,0.3478,0.0008
Eunotia Naegelii,1,0,0,4,4,0.0,0.3478,0.0008
Peronia Fibula,1,0,0,19,19,0.0,0.4664,0.0008
Eunotia Pectinalis,1,0,0,8,8,0.0,0.4125,0.0008
Frustulia Rhomboides Saxonica,1,0,0,20,20,0.0,0.474,0.0008
Baetis Vernus,1,0,52,26,78,154.45,0.5677,0.0016
Electrogena Lateralis,1,0,9,3,12,3.34,0.4106,0.0011
Tinodes Waeneri,1,0,52,1,53,4.03,0.4791,0.0016
Diatoma Hyemale Quadratum,1,0,0,17,17,0.0,0.4632,0.0008
Ancylus Fluviatilis,1,0,75,11,86,47.85,0.5593,0.002
Baetis Muticus,1,0,38,22,60,77.84,0.5455,0.0013
Baetis Scambus,1,0,51,25,76,115.36,0.5641,0.0015
Calopteryx Splendens,1,0,36,0,36,0.0,0.4731,0.0031
Diplectrona Felix,1,0,15,2,17,1.98,0.5106,0.0017
Gammarus Pulex,1,0,130,32,162,2009.67,0.7078,0.006
Hydropsyche Siltalai,1,0,139,17,156,308.15,0.7021,0.0052
Perla Bipunctata,1,0,10,2,12,0.0,0.4991,0.0045
Philopotamus Montanus,1,0,8,0,8,0.0,0.3563,0.001
Silo Pallipes,1,0,73,3,76,8.36,0.5156,0.002
Baetis Niger,1,0,28,16,44,5.48,0.5228,0.0012
Anabolia Nervosa,1,0,63,9,72,19.8,0.5629,0.0021
Achnanthes Joursacense,1,0,0,28,28,0.0,0.4791,0.0008
Achnanthes Lanceolata,1,0,0,66,66,0.0,0.5443,0.0008
Amphora Ovalis,1,0,0,28,28,0.0,0.4791,0.0008
Amphora Pediculus,1,0,0,86,86,0.0,0.5702,0.0008
Cocconeis Placentula,1,0,0,88,88,0.0,0.5727,0.0008
Cymatopleura Solea,1,0,0,28,28,0.0,0.4791,0.0008
Cymbella Lanceolata,1,0,0,28,28,0.0,0.4791,0.0008
Diatoma Vulgaris,1,0,0,59,59,0.0,0.5323,0.0008
Encyonema Minutum,1,0,0,38,38,0.0,0.5087,0.0008
Encyonema Silesiacum,1,0,0,61,61,0.0,0.5388,0.0008
Fragilaria Elliptica,1,0,0,28,28,0.0,0.4791,0.0008
Fragilaria Leptostauron,1,0,0,28,28,0.0,0.4791,0.0008
Fragilaria Ulna,1,0,0,73,73,0.0,0.5546,0.0008
Gomphonema Olivaceum,1,0,0,80,80,0.0,0.5617,0.0008
Melosira Varians,1,0,0,75,75,0.0,0.5546,0.0008
Navicula Capitatoradiata,1,0,0,28,28,0.0,0.4791,0.0008
Navicula Cryptotenella,1,0,0,28,28,0.0,0.4791,0.0008
Navicula Gregaria,1,0,0,28,28,0.0,0.4791,0.0008
Navicula Lanceolata,1,0,0,83,83,0.0,0.5665,0.0008
Navicula Menisculus,1,0,0,78,78,0.0,0.5605,0.0008
Navicula Pseudofrugalis,1,0,0,28,28,0.0,0.4791,0.0008
Navicula Tripunctata,1,0,0,85,85,0.0,0.569,0.0008
Nitzschia Dissipata,1,0,0,78,78,0.0,0.5605,0.0008
Nitzschia Perminuta,1,0,0,48,48,0.0,0.5146,0.0008
Rhoicosphenia Abbreviata,1,0,0,69,69,0.0,0.5477,0.0008
Surirella Ovalis,1,0,0,28,28,0.0,0.4791,0.0008
Asellus Aquaticus,1,0,70,19,89,99.12,0.5593,0.0018
Bithynia Leachii,1,0,28,5,33,5.48,0.4407,0.0012
Leuctra Geniculata,1,0,28,15,43,28.23,0.5238,0.0012
Ephemera Danica,1,0,76,13,89,47.38,0.557,0.0019
Erpobdella Octoculata,1,0,110,7,117,92.79,0.6226,0.0085
Polycentropus Kingi,1,0,33,11,44,15.35,0.5291,0.0019
Heptagenia Sulphurea,1,0,86,7,93,23.77,0.5593,0.0022
Hydropsyche Contubernalis,1,0,33,9,42,11.36,0.5301,0.0018
Sericostoma Personatum,1,0,77,16,93,176.57,0.5777,0.0026
Hydropsyche Instabilis,1,0,33,9,42,11.36,0.5301,0.0018
Hydropsyche Pellucidula,1,0,138,16,154,189.86,0.6911,0.0052
Lepidostoma Hirtum,1,0,91,8,99,25.7,0.5665,0.0023
Leuciscus Leuciscus,1,0,45,1,46,0.17,0.5166,0.0047
Oulimnius Tuberculatus,1,0,80,3,83,7.84,0.5301,0.002
Squalius Cephalus,1,0,131,6,137,27.14,0.6519,0.05
Theodoxus Fluviatilis,1,0,28,0,28,0.0,0.4093,0.0012
Anguilla Anguilla,1,0,69,6,75,281.59,0.5617,0.0641
Serratella Ignita,1,0,25,11,36,12.79,0.5009,0.0019
Thymallus Thymallus,1,0,67,7,74,321.59,0.5593,0.0633
Esox Lucius,1,0,51,0,51,0.0,0.5323,0.0428
Gobio Gobio,1,0,102,5,107,11.83,0.6083,0.0394
Rutilus Rutilus,1,0,10,1,11,0.17,0.4567,0.0032
Platichthys Flesus,1,0,14,0,14,0.0,0.4607,0.0093
Aphelocheirus Aestivalis,1,0,0,3,3,0.0,0.3958,0.0008
Piscicola Geometra,1,0,8,8,16,2605.53,0.4664,0.0519
Siphlonurus Armatus,1,0,6,0,6,0.0,0.3544,0.001
Centroptilum Luteolum,1,0,74,4,78,36.42,0.5301,0.0027
Brachysira Vitrea,1,0,0,3,3,0.0,0.3529,0.0008
Frustulia Rhomboides Viridula,1,0,0,3,3,0.0,0.3529,0.0008
Surirella Linearis,1,0,0,3,3,0.0,0.3529,0.0008
Nemoura Cinerea,1,0,10,2,12,12.7,0.4106,0.0018
Amphora Inariensis,1,0,0,76,76,0.0,0.5558,0.0008
Ablabesmyia Monilis,1,0,44,18,62,328.91,0.5432,0.0035
Amphora Libyca,1,0,0,47,47,0.0,0.5176,0.0008
Cocconeis Disculus,1,0,0,62,62,0.0,0.5366,0.0008
Cocconeis Neodiminuta,1,0,0,67,67,0.0,0.5377,0.0008
Gomphonema Minutiforme,1,0,0,38,38,0.0,0.4991,0.0008
Navicula Capitata,1,0,0,36,36,0.0,0.4972,0.0008
Navicula Cincta,1,0,0,61,61,0.0,0.5355,0.0008
Navicula Cryptocephala,1,0,0,55,55,0.0,0.5238,0.0008
Navicula Cryptonella,1,0,0,75,75,0.0,0.5546,0.0008
Navicula Minima,1,0,0,75,75,0.0,0.5546,0.0008
Navicula Radiosa,1,0,0,66,66,0.0,0.5421,0.0008
Navicula Seminulum,1,0,0,66,66,0.0,0.5421,0.0008
Navicula Veneta,1,0,0,62,62,0.0,0.5377,0.0008
Nitzschia Frustulum,1,0,0,60,60,0.0,0.5301,0.0008
Nitzschia Recta,1,0,0,66,66,0.0,0.5432,0.0008
Staurosira Construens,1,0,0,36,36,0.0,0.4972,0.0008
Staurosira Elliptica,1,0,0,36,36,0.0,0.4972,0.0008
Surirella Brebissonii,1,0,0,21,21,0.0,0.4783,0.0008
Apsectrotanypus Trifascipennis,1,0,93,38,131,3263.86,0.6316,0.0057
Cricotopus Bicinctus,1,0,70,46,116,146.31,0.6125,0.0017
Epoicocladius Flavens,1,0,77,51,128,236.73,0.6301,0.0019
Heleniella Ornaticollis,1,0,53,37,90,72.09,0.5777,0.0014
Paracladopelma Camptolabis,1,0,30,18,48,8.2,0.5269,0.0012
Parametriocnemus Stylatus,1,0,77,51,128,236.73,0.6301,0.0019
Polypedilum Convictum,1,0,70,42,112,131.08,0.6069,0.002
Polypedilum Nubeculosum,1,0,66,38,104,85.64,0.5959,0.0019
Potamophylax Cingulatus,1,0,26,5,31,2.45,0.4656,0.0011
Prodiamesa Olivacea,1,0,51,38,89,72.37,0.5752,0.0014
Pseudorthocladius,1,0,73,45,118,172.85,0.6154,0.0018
Sialis Lutaria,1,0,82,8,90,570.47,0.5546,0.0079
Simulium Equinum,1,0,54,23,77,86.13,0.5477,0.0027
Simulium Intermedium,1,0,54,23,77,86.13,0.5477,0.0027
Simulium Lundstromi,1,0,47,20,67,70.28,0.5366,0.0025
Stempellina Bausei,1,0,30,18,48,8.2,0.5269,0.0012
Achnanthes Delicatula,1,0,0,51,51,0.0,0.5259,0.0008
Agapetus Fuscipes,1,0,57,4,61,5.13,0.5077,0.0016
Cymbella Sinuata,1,0,0,46,46,0.0,0.5156,0.0008
Fragilaria Fasciculata,1,0,0,61,61,0.0,0.5388,0.0008
Meridion Circulare,1,0,0,43,43,0.0,0.5126,0.0008
Pinnularia Appendiculata,1,0,0,12,12,0.0,0.4528,0.0008
Pseudostaurosira Brevistriata,1,0,0,21,21,0.0,0.4809,0.0008
Staurosirella Leptostauron,1,0,0,39,39,0.0,0.5067,0.0008
Staurosirella Pinnata,1,0,0,45,45,0.0,0.5136,0.0008
Barbatula Barbatula,1,0,50,1,51,30.89,0.5156,0.0072
Polycentropus Flavomaculatus,1,0,89,14,103,752.21,0.6,0.0138
Caenis Luctuosa,1,0,69,10,79,35.94,0.5489,0.0018
Nemoura Avicularis,1,0,58,6,64,14.95,0.5291,0.0016
Gyrosigma Nodiferum,1,0,0,2,2,0.0,0.4224,0.0008
Gasterosteus Aculeatus,1,0,125,7,132,154.65,0.6486,0.0078
Mystacides Longicornis,1,0,0,7,7,0.0,0.4689,0.0008
Physa Fontinalis,1,0,0,5,5,0.0,0.4544,0.0008
Limnephilus Lunatus,1,0,71,6,77,12.34,0.5228,0.0028
Limnephilus Rhombicus,1,0,32,3,35,0.79,0.4826,0.0017
Orectochilus Villosus,1,0,60,2,62,62.3,0.4889,0.0026
Denticula Kuetzingii,1,0,0,1,1,0.0,0.3288,0.0008
Goera Pilosa,1,0,0,1,1,0.0,0.3929,0.0008
Cocconeis Pediculus,1,0,0,63,63,0.0,0.5366,0.0008
Gomphonema,1,0,0,40,40,0.0,0.5029,0.0008
Navicula Atomus,1,0,0,70,70,0.0,0.5489,0.0008
Navicula Goeppertiana,1,0,0,38,38,0.0,0.5009,0.0008
Navicula Lanceolata Phyllepta,1,0,0,50,50,0.0,0.5197,0.0008
Navicula Lenzii,1,0,0,50,50,0.0,0.5197,0.0008
Navicula Pupula,1,0,0,50,50,0.0,0.5197,0.0008
Nitzschia Agnita,1,0,0,37,37,0.0,0.5,0.0008
Nitzschia Capitellata,1,0,0,37,37,0.0,0.5,0.0008
Nitzschia Heufleriana,1,0,0,60,60,0.0,0.5366,0.0008
Nitzschia Palea,1,0,0,68,68,0.0,0.5466,0.0008
Brillia Longifurca,1,0,53,36,89,54.65,0.5752,0.0014
Brillia Modesta,1,0,66,40,106,113.76,0.5986,0.0017
Chaetocladius Piger,1,0,37,21,58,15.99,0.5388,0.0012
Eukiefferiella Claripennis,1,0,62,42,104,87.72,0.5959,0.0016
Heterotrissocladius Marcidus,1,0,37,21,58,15.99,0.5388,0.0012
Microtendipes Pedellus,1,0,67,36,103,72.45,0.5946,0.0019
Nanocladius Rectinervis,1,0,71,47,118,170.37,0.6154,0.0018
Polypedilum Pedestre,1,0,39,17,56,9.34,0.5366,0.0015
Rheocricotopus Chalybeatus,1,0,53,36,89,54.65,0.5752,0.0014
Synorthocladius Semivirens,1,0,62,43,105,95.75,0.5973,0.0016
Fragilaria Capucina,1,0,0,53,53,0.0,0.5291,0.0008
Cottus Gobio,1,0,69,10,79,331.68,0.5764,0.0204
Potamopyrgus Antipodarum,1,0,50,11,61,28.37,0.5238,0.0014
Caenis Rivulorum,1,0,54,9,63,14.01,0.5249,0.0015
Calopteryx Virgo,1,0,21,0,21,0.0,0.4184,0.0019
Lype Reducta,1,0,70,3,73,3.73,0.5228,0.0018
Rhyacophila Dorsalis,1,0,38,12,50,155.61,0.5333,0.0043
Dendrocoelum Lacteum,1,0,6,0,6,0.0,0.4342,0.0013
Phoxinus Phoxinus,1,0,145,8,153,221.58,0.6822,0.0678
Lampetra Planeri,1,0,37,1,38,0.64,0.4444,0.0012
Acroloxus Lacustris,1,0,0,1,1,0.0,0.3929,0.0008
Cocconeis Pseudothumensis,1,0,0,69,69,0.0,0.5466,0.0008
Gomphonema Minutum,1,0,0,29,29,0.0,0.4962,0.0008
Gomphonema Parvulum,1,0,0,58,58,0.0,0.5333,0.0008
Navicula Aboensis,1,0,0,53,53,0.0,0.5228,0.0008
Navicula Clementis,1,0,0,30,30,0.0,0.4972,0.0008
Navicula Halophila,1,0,0,54,54,0.0,0.5291,0.0008
Navicula Margalithii,1,0,0,53,53,0.0,0.5228,0.0008
Nitzschia Acicularis,1,0,0,28,28,0.0,0.4953,0.0008
Nitzschia Flexa,1,0,0,28,28,0.0,0.4953,0.0008
Nitzschia Linearis,1,0,0,63,63,0.0,0.5399,0.0008
Nitzschia Wuellerstorfii,1,0,0,51,51,0.0,0.5207,0.0008
Macropelopia Adaucta,1,0,46,19,65,251.29,0.5511,0.003
Paraleptophlebia Submarginata,1,0,0,8,8,0.0,0.4656,0.0008
Cymbella Affinis,1,0,0,18,18,0.0,0.48,0.0008
Achnanthes Clevei,1,0,0,38,38,0.0,0.5097,0.0008
Encyonema Caespitosum,1,0,0,17,17,0.0,0.4765,0.0008
Polycelis Tenuis,1,0,26,3,29,71.2,0.4953,0.0023
Pseudolimnophila,1,0,0,2,2,0.0,0.3952,0.0008
Silo Nigricornis,1,0,64,4,68,7.23,0.4991,0.0017
Crangonyx Pseudogracilis,1,0,10,1,11,1.2,0.4328,0.0013
Gyrosigma Acuminatum,1,0,0,1,1,0.0,0.4151,0.0008
Gyrosigma Attenuatum,1,0,0,1,1,0.0,0.4151,0.0008
Halesus Digitatus,1,0,42,1,43,0.6,0.4898,0.0017
Planaria Torva,1,0,13,0,13,0.0,0.4528,0.0017
Ptychoptera Scutellaris,1,0,0,1,1,0.0,0.3929,0.0008
Achnanthes Ploenensis,1,0,0,44,44,0.0,0.5156,0.0008
Amphora Aequalis,1,0,0,46,46,0.0,0.5146,0.0008
Caloneis Bacillum,1,0,0,17,17,0.0,0.4723,0.0008
Cymbella Prostrata,1,0,0,32,32,0.0,0.4953,0.0008
Diploneis Oblongella,1,0,0,17,17,0.0,0.4723,0.0008
