Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Enteromorpha,9,8,0,13,13,0.0,0.5333,0.0073
Hydrobia Ulvae,2,1,1,19,20,7.82,0.5714,0.0077
Nereis Diversicolor,2,1,4,25,29,43.08,0.6154,0.0104
Semibalanus Balanoides,2,1,0,13,13,0.0,0.5106,0.0073
Anguilla Anguilla,1,0,6,4,10,6.65,0.4557,0.01
Lutra Lutra,1,0,5,0,5,0.0,0.385,0.0223
Pholis Gunnellus,1,0,11,3,14,11.4,0.507,0.0136
Zoarces Viviparus,1,0,9,4,13,11.25,0.4832,0.0117
Myoxocephalus Scorpius,1,0,7,3,10,9.15,0.518,0.0161
Salmo Trutta,1,0,5,4,9,4.11,0.4615,0.0094
Phalacrocorax Carbo,1,0,7,0,7,0.0,0.45,0.0406
Pollachius Virens,1,0,8,2,10,2.6,0.48,0.0165
Ammodytes Tobianus,1,0,7,6,13,16.62,0.5106,0.0108
Pomatoschistus Microps,1,0,16,6,22,37.9,0.5669,0.041
Platichthys Flesus,1,0,34,8,42,160.65,0.6923,0.1161
Ardea Cinerea,1,0,10,0,10,0.0,0.4898,0.0499
Carcinus Maenas,1,0,13,20,33,148.09,0.6316,0.0207
Cygnus Olor,1,0,1,0,1,0.0,0.3495,0.0077
Tadorna Tadorna,1,0,9,0,9,0.0,0.4615,0.0124
Corophium Volutator,1,0,0,25,25,0.0,0.5854,0.0073
Littorina Littorea,1,0,1,11,12,3.5,0.48,0.0077
Macoma Balthica,1,0,0,8,8,0.0,0.4675,0.0073
Mytilus Edulis,1,0,0,16,16,0.0,0.5217,0.0073
Cerastoderma Edule,1,0,0,6,6,0.0,0.4586,0.0073
Anas Penelope,1,0,1,0,1,0.0,0.3495,0.0077
Crangon Crangon,1,0,9,15,24,83.02,0.5854,0.0128
Somateria Mollissima,1,0,9,1,10,1.57,0.4768,0.0119
Gammarus Spp.,1,0,0,21,21,0.0,0.5294,0.0073
Haematopus Ostralegus,1,0,6,0,6,0.0,0.4235,0.01
Neomysis Integer,1,0,0,14,14,0.0,0.4932,0.0073
Charadrius Hiaticula,1,0,4,0,4,0.0,0.4138,0.009
Pluvialis Apricaria,1,0,5,0,5,0.0,0.4211,0.0091
Pluvialis Squatarola,1,0,2,0,2,0.0,0.3913,0.0079
Vanellus Vanellus,1,0,3,0,3,0.0,0.4022,0.0087
Calidris Alpina,1,0,2,0,2,0.0,0.3913,0.0079
Limosa Lapponica,1,0,1,0,1,0.0,0.383,0.0076
Numenius Arquata,1,0,4,0,4,0.0,0.4364,0.0095
Tringa Totanus,1,0,10,0,10,0.0,0.4706,0.0147
Arenicola Marina,1,0,0,3,3,0.0,0.4286,0.0073
Littorina Saxatilis,1,0,1,5,6,0.92,0.4211,0.0077
Arenaria Interpres,1,0,3,0,3,0.0,0.4022,0.0084
Sprattus Sprattus,1,0,0,8,8,0.0,0.4472,0.0073
Larus Canus,1,0,9,0,9,0.0,0.5143,0.024
Clupea Harengus,1,0,0,8,8,0.0,0.4472,0.0073
Larus Ridibundus,1,0,8,0,8,0.0,0.5106,0.0234
Larus Argentatus,1,0,10,0,10,0.0,0.4966,0.04
Larus Marinus,1,0,6,0,6,0.0,0.4675,0.0235
Sterna Sandvicensis,1,0,5,0,5,0.0,0.4311,0.0252
Sterna Hirundo,1,0,5,0,5,0.0,0.4114,0.0132
Sterna Paradisaea,1,0,3,0,3,0.0,0.3529,0.0103
Corvus Frugilegus,1,0,4,0,4,0.0,0.4091,0.0108
Corvus Corone,1,0,4,0,4,0.0,0.4138,0.0102
Jaera Marina,1,0,0,9,9,0.0,0.4832,0.0073
Syngnathus Rostellatus,1,0,1,0,1,0.0,0.3396,0.0077
Ciliata Mustela,1,0,2,0,2,0.0,0.4186,0.0084
Pygospio Elegans,1,0,0,7,7,0.0,0.4645,0.0073
Pomatoschistus Minutus,1,0,12,1,13,0.5,0.4898,0.0174
Hyale Nilssoni,1,0,1,2,3,0.5,0.3913,0.0077
Tubificoides Benedeni,1,0,0,4,4,0.0,0.45,0.0073
Manayunkia Aestuarina,1,0,0,3,3,0.0,0.4235,0.0073
Agonus Cataphractus,1,0,2,0,2,0.0,0.3913,0.0083
Gasterosteus Aculeatus,1,0,6,0,6,0.0,0.4311,0.0098
Pleuronectes Platessa,1,0,13,1,14,0.0,0.5255,0.0168
Mya Arenaria,1,0,0,1,1,0.0,0.4114,0.0073
Talitrus Saltator,1,0,0,1,1,0.0,0.4114,0.0073
Bathyporeia Pilosa,1,0,0,1,1,0.0,0.4114,0.0073
Idotea Emarginata,1,0,0,1,1,0.0,0.4114,0.0073
Eurydice Pulchra,1,0,0,1,1,0.0,0.4114,0.0073
Nereis Virens,1,0,4,2,6,0.68,0.4966,0.0104
Tubifex Costatus,1,0,0,1,1,0.0,0.4114,0.0073
Alderia Modesta,1,0,1,1,2,0.0,0.4286,0.0077
Retusa Obtusa,1,0,1,1,2,0.0,0.439,0.0076
Fucus Ceranoides,1,0,0,3,3,0.0,0.4211,0.0073
